dec	hex	name
4037	0x0fc5	EID_E_PHYSICAL_TRAPPED
4038	0x0fc6	EID_E_PLAN_TRAPPED
4039	0x0fc7	EID_E_PICK_UP
4040	0x0fc8	EID_E_PICK_UP_DO_TASK
4041	0x0fc9	EID_E_TILE_DO_TASK
4042	0x0fca	EID_E_NO_DUST_BOX_DO_TASK
4043	0x0fcb	EID_E_NO_WATER_BOX_DO_TASK
4044	0x0fcc	EID_E_TRY_POWEROFF_ON_CHARGER
4045	0x0fcd	EID_E_SKID
4046	0x0fce	EID_E_INCORRECT_WIFI_PASSWD
4047	0x0fcf	EID_E_LONG_TIME_NO_MOVE
4048	0x0fd0	EID_E_CANNOT_UPGRADE
4049	0x0fd1	EID_E_OPT_DURING_UPGRADE
4050	0x0fd2	EID_E_BATTERY_DISCONNECT
4051	0x0fd3	EID_E_CLEAN_CANNOT_ARRIVE
4052	0x0fd4	EID_E_START_FROM_FORBID_AREA
4053	0x0fd5	EID_E_KIT_FAN_ERR
4054	0x0fd6	EID_E_KIT_SIDE_BRUSH_ERR
4055	0x0fd7	EID_E_KIT_MID_BRUSH_ERR
4056	0x0fd8	EID_E_KIT_MOTOR_ERR
4057	0x0fd9	EID_E_KIT_WATER_PUMP_ERR
4058	0x0fda	EID_E_KIT_LIDAR_ERR
4059	0x0fdb	EID_E_KIT_MOP_MOTOR_ERR
4060	0x0fdc	EID_E_KIT_SIDE_STRETCH_BRUSH_ERR
4061	0x0fdd	EID_E_START_FROM_MAGNETIC_WALL
4062	0x0fde	EID_E_COLLECT_DUST_FULL
4063	0x0fdf	EID_E_COLLECT_DUST_NO_BAG
4064	0x0fe0	EID_E_COLLECT_DUST_NO_FAN
4065	0x0fe1	EID_E_SEWAGE_TANK_FULL
4066	0x0fe2	EID_E_SEWAGE_BUFFER_TANK_FULL
4067	0x0fe3	EID_E_DUST_COVER_OPEN
4068	0x0fe4	EID_E_OPT_DURING_DUST_CENTER_WORKING
4069	0x0fe5	EID_E_DUST_CENTER_FAIL
4070	0x0fe6	EID_E_DUST_CENTER_ERROR
4071	0x0fe7	EID_E_COLLECT_DUST_MOP_IN_NOT_WORK
4072	0x0fe8	EID_E_EVENT_END
5000	0x1388	EID_R_EVENT_BEGIN
5001	0x1389	EID_R_NAVIGATOR_REQUEST
5002	0x138a	EID_R_EVENT_END
6000	0x1770	EID_N_EVENT_BEGIN
6001	0x1771	EID_N_CLEAN_DONE_NORMAL
6002	0x1772	EID_N_CLEAN_DONE_UNNORMAL
6003	0x1773	EID_N_STEP_DONE
6004	0x1774	EID_N_TARGET_DONE
6005	0x1775	EID_N_TARGET_FAILED
6006	0x1776	EID_N_SEARCH_TARGET_OVER
6007	0x1777	EID_N_ESCAPE_DONE
6008	0x1778	EID_N_TRACE_PATH_DONE
6009	0x1779	EID_N_TRACE_PATH_FAILED
6010	0x177a	EID_N_TRACE_PATH_CTRL_END
6011	0x177b	EID_N_EVENT_END
7000	0x1b58	EID_D_DEBUG_EVENT_BEGIN
7001	0x1b59	EID_D_NETWORK_MSG
